date,temperature_max,temperature_min,precipitation,weather_code,weather_description,season
2024-02-09,1.4,-5.4,9.7,71.0,Slight snow fall,Winter
2024-02-10,5.4,-2.3,14.1,73.0,moderate snow fall,Winter
2024-02-11,-1.9,-1.8,11.5,75.0,heavy snow fall,Winter
2024-02-12,-0.5,-0.8,10.6,73.0,moderate snow fall,Winter
2024-02-13,0.2,-2.8,14.8,86.0,Heavy snow showers,Winter
2024-02-14,-0.7,-5.0,11.3,77.0,Snow grains,Winter
2024-02-15,-1.2,-8.5,7.7,71.0,Slight snow fall,Winter
2024-02-16,1.0,-3.7,11.3,75.0,heavy snow fall,Winter
2024-02-17,2.1,-5.7,1.8,56.0,Light freezing drizzle,Winter
2024-02-18,4.6,-6.5,4.5,77.0,Snow grains,Winter
2024-02-19,1.1,-4.9,8.9,71.0,Slight snow fall,Winter
2024-02-20,-0.6,-6.7,13.3,73.0,moderate snow fall,Winter
2024-02-21,4.3,-2.1,8.2,66.0,Light freezing rain,Winter
2024-02-22,0.5,-7.9,0.4,48.0,Depositing rime fog,Winter
2024-02-23,0.4,0.6,1.0,75.0,heavy snow fall,Winter
2024-02-24,0.0,-8.0,14.3,71.0,Slight snow fall,Winter
2024-02-25,4.4,-4.7,2.9,77.0,Snow grains,Winter
2024-02-26,-0.9,-2.4,9.1,66.0,Light freezing rain,Winter
2024-02-27,0.9,-7.0,1.2,3.0,Overcast,Winter
2024-02-28,2.6,-5.3,1.7,71.0,Slight snow fall,Winter
2024-02-29,0.2,-8.1,3.9,86.0,Heavy snow showers,Winter
2024-03-01,1.0,-2.2,7.1,85.0,Light snow showers,Winter
2024-03-02,4.9,-2.7,3.0,71.0,Slight snow fall,Winter
2024-03-03,-0.1,-2.0,3.5,86.0,Heavy snow showers,Winter
2024-03-04,5.2,0.8,14.8,73.0,moderate snow fall,Winter
2024-03-05,1.7,-9.3,7.7,3.0,Overcast,Winter
2024-03-06,0.2,-8.4,11.3,85.0,Light snow showers,Winter
2024-03-07,-0.8,-2.8,0.9,77.0,Snow grains,Winter
2024-03-08,0.7,-8.1,7.3,56.0,Light freezing drizzle,Winter
2024-03-09,2.9,-9.0,10.1,77.0,Snow grains,Winter
2024-03-10,4.8,-8.9,14.1,86.0,Heavy snow showers,Winter
2024-03-11,3.0,-7.5,12.1,71.0,Slight snow fall,Winter
2024-03-12,3.8,-8.5,3.0,45.0,Fog,Winter
2024-03-13,5.5,-2.5,11.4,45.0,Fog,Winter
2024-03-14,3.7,-1.5,1.5,71.0,Slight snow fall,Winter
2024-03-15,4.4,-2.5,10.2,71.0,Slight snow fall,Winter
2024-03-16,8.9,9.1,1.4,80.0,Light rain showers,Rainy
2024-03-17,11.3,6.0,2.7,51.0,Light drizzle,Rainy
2024-03-18,13.1,11.5,3.3,80.0,Light rain showers,Rainy
2024-03-19,17.5,7.5,2.6,81.0,Moderate rain showers,Rainy
2024-03-20,10.0,6.0,4.5,51.0,Light drizzle,Rainy
2024-03-21,17.1,8.4,9.5,82.0,Heavy rain showers,Rainy
2024-03-22,12.2,3.6,5.9,51.0,Light drizzle,Rainy
2024-03-23,12.5,11.0,3.4,82.0,Heavy rain showers,Rainy
2024-03-24,11.4,10.5,6.7,63.0,Rain,Rainy
2024-03-25,13.8,6.4,1.6,61.0,Light rain,Rainy
2024-03-26,18.8,2.8,9.1,61.0,Light rain,Rainy
2024-03-27,14.4,10.2,10.0,81.0,Moderate rain showers,Rainy
2024-03-28,17.8,4.8,4.4,61.0,Light rain,Rainy
2024-03-29,11.2,10.0,8.3,63.0,Rain,Rainy
2024-03-30,8.9,7.0,7.7,81.0,Moderate rain showers,Rainy
2024-03-31,16.3,5.1,5.2,63.0,Rain,Rainy
2024-04-01,15.3,5.8,6.5,51.0,Light drizzle,Rainy
2024-04-02,9.3,3.2,0.8,82.0,Heavy rain showers,Rainy
2024-04-03,14.1,10.1,9.9,61.0,Light rain,Rainy
2024-04-04,12.1,8.8,7.9,63.0,Rain,Rainy
2024-04-05,18.7,11.0,2.1,82.0,Heavy rain showers,Rainy
2024-04-06,19.9,2.6,5.5,61.0,Light rain,Rainy
2024-04-07,12.9,7.1,6.5,80.0,Light rain showers,Rainy
2024-04-08,19.3,5.2,5.2,82.0,Heavy rain showers,Rainy
2024-04-09,14.9,5.4,2.4,81.0,Moderate rain showers,Rainy
2024-04-10,19.1,10.2,7.1,81.0,Moderate rain showers,Rainy
2024-04-11,18.9,3.3,4.9,61.0,Light rain,Rainy
2024-04-12,9.2,11.5,5.1,51.0,Light drizzle,Rainy
2024-04-13,15.2,10.7,8.0,80.0,Light rain showers,Rainy
2024-04-14,19.8,9.1,3.7,81.0,Moderate rain showers,Rainy
2024-04-15,12.7,6.2,2.3,80.0,Light rain showers,Rainy
2024-04-16,15.5,10.5,6.1,61.0,Light rain,Rainy
2024-04-17,15.3,11.9,1.6,63.0,Rain,Rainy
2024-04-18,19.3,9.6,0.1,82.0,Heavy rain showers,Rainy
2024-04-19,14.6,4.4,6.2,61.0,Light rain,Rainy
2024-04-20,11.2,9.0,6.0,82.0,Heavy rain showers,Rainy
2024-04-21,14.6,3.1,2.4,81.0,Moderate rain showers,Rainy
2024-04-22,14.9,11.7,7.9,82.0,Heavy rain showers,Rainy
2024-04-23,18.4,10.9,9.5,80.0,Light rain showers,Rainy
2024-04-24,19.4,5.0,2.3,80.0,Light rain showers,Rainy
2024-04-25,13.2,4.0,5.8,51.0,Light drizzle,Rainy
2024-04-26,12.2,4.2,5.2,80.0,Light rain showers,Rainy
2024-04-27,18.0,11.6,2.2,80.0,Light rain showers,Rainy
2024-04-28,19.9,9.7,7.2,63.0,Rain,Rainy
2024-04-29,19.3,10.3,7.7,63.0,Rain,Rainy
2024-04-30,13.4,3.4,7.1,80.0,Light rain showers,Rainy
2024-05-01,13.7,11.5,4.5,80.0,Light rain showers,Rainy
2024-05-02,15.8,10.4,2.8,81.0,Moderate rain showers,Rainy
2024-05-03,12.0,10.5,5.2,51.0,Light drizzle,Rainy
2024-05-04,17.4,7.7,9.6,80.0,Light rain showers,Rainy
2024-05-05,10.5,9.6,5.8,80.0,Light rain showers,Rainy
2024-05-06,14.9,9.7,7.5,81.0,Moderate rain showers,Rainy
2024-05-07,13.1,2.2,2.8,51.0,Light drizzle,Rainy
2024-05-08,10.2,9.2,5.0,82.0,Heavy rain showers,Rainy
2024-05-09,17.1,9.7,1.3,81.0,Moderate rain showers,Rainy
2024-05-10,19.4,8.3,8.6,82.0,Heavy rain showers,Rainy
2024-05-11,9.1,10.0,1.6,80.0,Light rain showers,Rainy
2024-05-12,8.3,5.2,4.7,81.0,Moderate rain showers,Rainy
2024-05-13,12.5,9.6,0.2,63.0,Rain,Rainy
2024-05-14,17.1,8.9,8.4,63.0,Rain,Rainy
2024-05-15,10.4,3.5,9.0,82.0,Heavy rain showers,Rainy
2024-05-16,13.7,10.6,7.1,80.0,Light rain showers,Rainy
2024-05-17,19.4,5.4,7.3,82.0,Heavy rain showers,Rainy
2024-05-18,12.0,10.0,5.5,82.0,Heavy rain showers,Rainy
2024-05-19,19.2,6.0,3.6,51.0,Light drizzle,Rainy
2024-05-20,9.8,11.3,7.6,51.0,Light drizzle,Rainy
2024-05-21,19.2,2.1,5.5,63.0,Rain,Rainy
2024-05-22,8.0,8.4,8.5,61.0,Light rain,Rainy
2024-05-23,18.6,6.2,6.4,80.0,Light rain showers,Rainy
2024-05-24,14.9,8.9,0.8,81.0,Moderate rain showers,Rainy
2024-05-25,9.9,8.7,8.8,63.0,Rain,Rainy
2024-05-26,9.9,6.3,3.3,82.0,Heavy rain showers,Rainy
2024-05-27,10.8,10.6,0.7,80.0,Light rain showers,Rainy
2024-05-28,9.4,4.3,1.0,61.0,Light rain,Rainy
2024-05-29,16.4,3.6,7.1,81.0,Moderate rain showers,Rainy
2024-05-30,17.9,6.9,0.0,81.0,Moderate rain showers,Rainy
2024-05-31,19.3,8.2,0.5,81.0,Moderate rain showers,Rainy
2024-06-01,17.9,5.5,9.6,81.0,Moderate rain showers,Rainy
2024-06-02,12.0,3.0,9.2,82.0,Heavy rain showers,Rainy
2024-06-03,15.3,7.9,4.7,63.0,Rain,Rainy
2024-06-04,17.9,12.0,0.3,81.0,Moderate rain showers,Rainy
2024-06-05,12.4,11.6,0.5,81.0,Moderate rain showers,Rainy
2024-06-06,17.1,6.7,8.7,51.0,Light drizzle,Rainy
2024-06-07,10.5,2.5,1.8,81.0,Moderate rain showers,Rainy
2024-06-08,16.6,6.0,8.0,63.0,Rain,Rainy
2024-06-09,13.4,8.6,3.8,61.0,Light rain,Rainy
2024-06-10,10.6,6.9,5.0,80.0,Light rain showers,Rainy
2024-06-11,15.4,7.2,0.8,82.0,Heavy rain showers,Rainy
2024-06-12,16.3,5.4,2.3,61.0,Light rain,Rainy
2024-06-13,16.6,10.2,9.0,82.0,Heavy rain showers,Rainy
2024-06-14,16.1,10.6,6.2,63.0,Rain,Rainy
2024-06-15,17.4,10.6,3.7,80.0,Light rain showers,Rainy
2024-06-16,27.2,19.6,6.2,1.0,Mainly clear,Summer
2024-06-17,28.1,23.0,9.0,0.0,Clear sky,Summer
2024-06-18,29.3,14.4,1.3,0.0,Clear sky,Summer
2024-06-19,23.8,20.3,8.5,0.0,Clear sky,Summer
2024-06-20,22.1,16.7,3.3,0.0,Clear sky,Summer
2024-06-21,25.8,17.8,3.1,2.0,Partly cloudy,Summer
2024-06-22,22.6,23.8,4.0,2.0,Partly cloudy,Summer
2024-06-23,32.3,18.6,10.3,0.0,Clear sky,Summer
2024-06-24,26.4,15.8,8.6,0.0,Clear sky,Summer
2024-06-25,26.3,14.9,9.6,2.0,Partly cloudy,Summer
2024-06-26,23.6,18.3,5.6,0.0,Clear sky,Summer
2024-06-27,31.6,14.8,3.9,0.0,Clear sky,Summer
2024-06-28,23.2,15.8,6.7,1.0,Mainly clear,Summer
2024-06-29,24.2,14.8,5.7,0.0,Clear sky,Summer
2024-06-30,31.1,21.8,3.9,1.0,Mainly clear,Summer
2024-07-01,33.7,21.3,9.9,2.0,Partly cloudy,Summer
2024-07-02,32.6,23.0,5.2,2.0,Partly cloudy,Summer
2024-07-03,30.1,22.2,11.6,2.0,Partly cloudy,Summer
2024-07-04,23.7,20.4,11.0,2.0,Partly cloudy,Summer
2024-07-05,31.2,18.5,6.6,2.0,Partly cloudy,Summer
2024-07-06,28.5,22.8,1.9,0.0,Clear sky,Summer
2024-07-07,25.8,23.0,7.5,0.0,Clear sky,Summer
2024-07-08,33.8,14.9,6.4,2.0,Partly cloudy,Summer
2024-07-09,27.0,23.3,4.8,2.0,Partly cloudy,Summer
2024-07-10,30.0,20.1,6.2,0.0,Clear sky,Summer
2024-07-11,31.1,17.3,9.7,0.0,Clear sky,Summer
2024-07-12,33.0,18.1,5.0,2.0,Partly cloudy,Summer
2024-07-13,24.6,19.3,6.1,0.0,Clear sky,Summer
2024-07-14,26.9,19.7,0.5,1.0,Mainly clear,Summer
2024-07-15,32.8,17.9,5.2,1.0,Mainly clear,Summer
2024-07-16,27.3,22.8,0.5,2.0,Partly cloudy,Summer
2024-07-17,23.8,17.6,7.4,2.0,Partly cloudy,Summer
2024-07-18,23.2,15.1,0.2,1.0,Mainly clear,Summer
2024-07-19,33.7,15.3,10.2,1.0,Mainly clear,Summer
2024-07-20,33.6,20.2,9.7,1.0,Mainly clear,Summer
2024-07-21,32.4,21.4,3.2,0.0,Clear sky,Summer
2024-07-22,31.8,23.7,10.7,1.0,Mainly clear,Summer
2024-07-23,22.3,14.9,5.5,2.0,Partly cloudy,Summer
2024-07-24,29.6,16.9,0.5,0.0,Clear sky,Summer
2024-07-25,23.0,22.4,4.6,1.0,Mainly clear,Summer
2024-07-26,32.3,18.2,0.7,0.0,Clear sky,Summer
2024-07-27,28.9,14.4,2.8,2.0,Partly cloudy,Summer
2024-07-28,33.8,15.8,2.5,0.0,Clear sky,Summer
2024-07-29,31.3,19.1,9.6,0.0,Clear sky,Summer
2024-07-30,26.5,19.0,6.2,1.0,Mainly clear,Summer
2024-07-31,23.2,21.2,9.8,1.0,Mainly clear,Summer
2024-08-01,31.9,18.6,2.6,0.0,Clear sky,Summer
2024-08-02,28.6,17.9,5.5,2.0,Partly cloudy,Summer
2024-08-03,33.4,22.0,6.4,0.0,Clear sky,Summer
2024-08-04,28.2,17.9,0.1,0.0,Clear sky,Summer
2024-08-05,31.6,17.8,6.1,2.0,Partly cloudy,Summer
2024-08-06,30.9,15.4,8.2,1.0,Mainly clear,Summer
2024-08-07,22.3,15.1,5.6,2.0,Partly cloudy,Summer
2024-08-08,31.2,16.7,7.3,2.0,Partly cloudy,Summer
2024-08-09,24.6,19.6,7.0,0.0,Clear sky,Summer
2024-08-10,30.7,17.0,5.6,1.0,Mainly clear,Summer
2024-08-11,29.7,22.6,10.7,2.0,Partly cloudy,Summer
2024-08-12,25.3,19.5,8.5,1.0,Mainly clear,Summer
2024-08-13,31.9,15.1,3.8,2.0,Partly cloudy,Summer
2024-08-14,33.0,17.5,4.1,1.0,Mainly clear,Summer
2024-08-15,26.7,15.5,1.7,2.0,Partly cloudy,Summer
2024-08-16,22.7,22.6,1.6,2.0,Partly cloudy,Summer
2024-08-17,26.2,22.2,11.2,0.0,Clear sky,Summer
2024-08-18,26.9,15.3,6.6,1.0,Mainly clear,Summer
2024-08-19,26.7,19.8,11.4,0.0,Clear sky,Summer
2024-08-20,23.4,20.3,3.4,1.0,Mainly clear,Summer
2024-08-21,26.1,21.9,5.6,2.0,Partly cloudy,Summer
2024-08-22,25.0,17.0,7.9,1.0,Mainly clear,Summer
2024-08-23,23.6,19.4,1.0,0.0,Clear sky,Summer
2024-08-24,23.4,14.8,4.0,1.0,Mainly clear,Summer
2024-08-25,32.0,18.2,4.6,0.0,Clear sky,Summer
2024-08-26,22.9,17.2,5.1,1.0,Mainly clear,Summer
2024-08-27,24.7,16.1,2.5,0.0,Clear sky,Summer
2024-08-28,31.4,20.2,11.8,0.0,Clear sky,Summer
2024-08-29,29.7,16.8,2.5,0.0,Clear sky,Summer
2024-08-30,27.2,21.2,7.2,2.0,Partly cloudy,Summer
2024-08-31,23.8,14.7,6.5,2.0,Partly cloudy,Summer
2024-09-01,22.4,21.6,9.6,0.0,Clear sky,Summer
2024-09-02,25.5,16.3,10.1,1.0,Mainly clear,Summer
2024-09-03,24.6,21.4,11.3,1.0,Mainly clear,Summer
2024-09-04,25.8,20.3,5.1,2.0,Partly cloudy,Summer
2024-09-05,32.4,21.5,11.1,2.0,Partly cloudy,Summer
2024-09-06,31.0,19.4,6.0,2.0,Partly cloudy,Summer
2024-09-07,33.4,17.3,2.2,1.0,Mainly clear,Summer
2024-09-08,27.7,20.7,6.2,0.0,Clear sky,Summer
2024-09-09,25.2,23.8,10.1,2.0,Partly cloudy,Summer
2024-09-10,24.5,18.9,11.7,2.0,Partly cloudy,Summer
2024-09-11,22.3,23.9,11.9,1.0,Mainly clear,Summer
2024-09-12,29.9,14.0,6.1,1.0,Mainly clear,Summer
2024-09-13,27.6,15.1,11.1,0.0,Clear sky,Summer
2024-09-14,28.5,18.8,0.4,2.0,Partly cloudy,Summer
2024-09-15,27.9,14.3,6.1,2.0,Partly cloudy,Summer
2024-09-16,13.5,11.3,7.0,51.0,Light drizzle,Autumn
2024-09-17,19.9,12.3,3.6,51.0,Light drizzle,Autumn
2024-09-18,19.4,8.3,2.5,45.0,Fog,Autumn
2024-09-19,16.9,9.3,3.7,45.0,Fog,Autumn
2024-09-20,19.7,8.3,6.0,3.0,Overcast,Autumn
2024-09-21,14.1,11.4,5.3,51.0,Light drizzle,Autumn
2024-09-22,15.2,12.1,0.4,45.0,Fog,Autumn
2024-09-23,10.7,11.3,5.6,3.0,Overcast,Autumn
2024-09-24,11.7,6.3,3.1,51.0,Light drizzle,Autumn
2024-09-25,11.1,10.3,7.3,3.0,Overcast,Autumn
2024-09-26,21.5,7.2,2.8,3.0,Overcast,Autumn
2024-09-27,11.8,9.1,5.0,3.0,Overcast,Autumn
2024-09-28,19.5,11.0,3.6,45.0,Fog,Autumn
2024-09-29,17.9,12.3,0.1,45.0,Fog,Autumn
2024-09-30,19.7,8.1,5.7,51.0,Light drizzle,Autumn
2024-10-01,20.0,8.8,6.6,3.0,Overcast,Autumn
2024-10-02,18.7,8.7,7.0,45.0,Fog,Autumn
2024-10-03,12.8,12.3,0.3,3.0,Overcast,Autumn
2024-10-04,13.0,9.1,2.1,3.0,Overcast,Autumn
2024-10-05,13.2,13.0,0.7,51.0,Light drizzle,Autumn
2024-10-06,21.8,5.2,5.7,51.0,Light drizzle,Autumn
2024-10-07,20.0,9.4,4.5,51.0,Light drizzle,Autumn
2024-10-08,18.3,13.0,2.3,3.0,Overcast,Autumn
2024-10-09,18.1,6.1,2.0,45.0,Fog,Autumn
2024-10-10,12.0,5.0,2.7,3.0,Overcast,Autumn
2024-10-11,13.6,9.4,6.3,45.0,Fog,Autumn
2024-10-12,13.8,7.5,3.3,3.0,Overcast,Autumn
2024-10-13,18.9,7.7,0.0,3.0,Overcast,Autumn
2024-10-14,19.8,10.2,1.4,3.0,Overcast,Autumn
2024-10-15,18.9,10.7,2.7,51.0,Light drizzle,Autumn
2024-10-16,18.9,7.5,7.7,51.0,Light drizzle,Autumn
2024-10-17,17.0,11.5,2.6,51.0,Light drizzle,Autumn
2024-10-18,21.3,13.5,4.2,51.0,Light drizzle,Autumn
2024-10-19,11.9,4.2,3.9,51.0,Light drizzle,Autumn
2024-10-20,15.0,10.9,0.2,45.0,Fog,Autumn
2024-10-21,12.8,4.1,7.6,3.0,Overcast,Autumn
2024-10-22,15.7,8.2,3.1,51.0,Light drizzle,Autumn
2024-10-23,13.6,4.9,4.6,3.0,Overcast,Autumn
2024-10-24,11.1,12.9,4.3,45.0,Fog,Autumn
2024-10-25,17.0,12.6,7.9,45.0,Fog,Autumn
2024-10-26,10.2,8.1,3.1,45.0,Fog,Autumn
2024-10-27,14.0,10.1,4.1,3.0,Overcast,Autumn
2024-10-28,18.6,11.2,6.1,3.0,Overcast,Autumn
2024-10-29,15.1,5.8,5.7,3.0,Overcast,Autumn
2024-10-30,15.7,4.7,4.6,51.0,Light drizzle,Autumn
2024-10-31,13.2,4.8,5.2,51.0,Light drizzle,Autumn
2024-11-01,18.7,10.5,6.4,51.0,Light drizzle,Autumn
2024-11-02,18.3,12.4,7.5,3.0,Overcast,Autumn
2024-11-03,13.0,9.5,4.8,3.0,Overcast,Autumn
2024-11-04,21.3,5.7,6.0,51.0,Light drizzle,Autumn
2024-11-05,12.9,7.5,1.7,3.0,Overcast,Autumn
2024-11-06,11.3,5.0,1.6,51.0,Light drizzle,Autumn
2024-11-07,11.3,7.3,5.9,51.0,Light drizzle,Autumn
2024-11-08,12.2,11.8,6.4,51.0,Light drizzle,Autumn
2024-11-09,21.1,4.3,6.3,51.0,Light drizzle,Autumn
2024-11-10,13.6,4.3,6.1,3.0,Overcast,Autumn
2024-11-11,13.8,10.2,5.6,45.0,Fog,Autumn
2024-11-12,13.9,12.6,5.5,51.0,Light drizzle,Autumn
2024-11-13,7.7,3.2,0.0,3.0,Overcast,Autumn
2024-11-14,8.3,4.7,0.0,3.0,Overcast,Autumn
2024-11-15,9.3,5.0,0.0,3.0,Overcast,Autumn
2024-11-16,8.0,5.8,2.1,61.0,Light rain,Rainy
2024-11-17,7.2,4.4,4.8,80.0,Light rain showers,Rainy
2024-11-18,6.1,1.5,0.0,3.0,Overcast,Autumn
2024-11-19,8.2,0.9,20.3,63.0,Rain,Rainy
2024-11-20,3.4,0.9,1.1,85.0,Light snow showers,Winter
2024-11-21,3.2,-0.6,0.4,85.0,Light snow showers,Winter
2024-11-22,2.7,-0.1,0.1,80.0,Light rain showers,Rainy
2024-11-23,4.7,0.0,9.0,85.0,Light snow showers,Winter
2024-11-24,12.1,4.5,2.0,61.0,Light rain,Rainy
2024-11-25,13.2,9.3,1.3,61.0,Light rain,Rainy
2024-11-26,10.9,5.2,1.2,61.0,Light rain,Rainy
2024-11-27,8.8,4.2,6.4,61.0,Light rain,Rainy
2024-11-28,6.5,4.0,6.1,80.0,Light rain showers,Rainy
2024-11-29,5.5,2.5,0.0,3.0,Overcast,Autumn
2024-11-30,4.6,-0.8,0.0,3.0,Overcast,Autumn
2024-12-01,4.4,-1.3,0.0,3.0,Overcast,Autumn
2024-12-02,6.2,-0.5,0.2,80.0,Light rain showers,Rainy
2024-12-03,7.8,4.0,2.0,80.0,Light rain showers,Rainy
2024-12-04,4.8,3.9,1.3,61.0,Light rain,Rainy
2024-12-05,4.6,2.3,1.1,61.0,Light rain,Rainy
2024-12-06,6.1,2.7,10.8,80.0,Light rain showers,Rainy
2024-12-07,5.8,4.5,3.5,61.0,Light rain,Rainy
2024-12-08,4.8,1.4,2.3,61.0,Light rain,Rainy
2024-12-09,4.7,1.5,1.8,61.0,Light rain,Rainy
2024-12-10,3.5,2.2,0.0,61.0,Light rain,Rainy
2024-12-11,3.4,1.3,0.0,3.0,Overcast,Autumn
2024-12-12,2.3,0.3,0.0,3.0,Overcast,Autumn
2024-12-13,2.4,-1.4,0.0,3.0,Overcast,Autumn
2024-12-14,4.3,-1.3,0.8,61.0,Light rain,Rainy
2024-12-15,10.1,4.3,2.8,61.0,Light rain,Rainy
2024-12-16,10.9,8.7,0.0,61.0,Light rain,Rainy
2024-12-17,9.4,6.3,0.1,61.0,Light rain,Rainy
2024-12-18,11.6,5.9,0.6,61.0,Light rain,Rainy
2024-12-19,12.9,5.5,3.5,80.0,Light rain showers,Rainy
2024-12-20,6.1,2.1,0.0,3.0,Overcast,Autumn
2024-12-21,7.0,2.5,3.0,61.0,Light rain,Rainy
2024-12-22,7.2,3.5,2.2,80.0,Light rain showers,Rainy
2024-12-23,5.2,3.0,1.0,85.0,Light snow showers,Winter
2024-12-24,4.3,0.3,0.0,61.0,Light rain,Rainy
2024-12-25,5.2,0.5,0.0,45.0,Fog,Autumn
2024-12-26,6.1,3.7,0.0,45.0,Fog,Autumn
2024-12-27,3.8,-0.8,0.0,45.0,Fog,Autumn
2024-12-28,-0.8,-2.5,0.0,48.0,Depositing rime fog,Winter
2024-12-29,2.5,-3.4,0.0,56.0,Light freezing drizzle,Winter
2024-12-30,3.0,0.2,0.0,51.0,Light drizzle,Autumn
2024-12-31,2.3,0.8,0.0,3.0,Overcast,Autumn
2025-01-01,7.6,2.5,1.2,61.0,Light rain,Rainy
2025-01-02,6.0,1.5,0.1,85.0,Light snow showers,Winter
2025-01-03,3.0,-0.9,1.7,85.0,Light snow showers,Winter
2025-01-04,0.8,-1.1,0.0,3.0,Overcast,Autumn
2025-01-05,5.4,-2.3,12.5,73.0,moderate snow fall,Winter
2025-01-06,10.9,6.6,2.5,80.0,Light rain showers,Rainy
2025-01-07,7.2,1.1,1.8,85.0,Light snow showers,Winter
2025-01-08,4.0,0.1,0.8,77.0,Snow grains,Winter
2025-01-09,1.1,0.3,13.2,73.0,moderate snow fall,Winter
2025-01-10,1.5,0.0,2.2,85.0,Light snow showers,Winter
2025-01-11,1.4,-0.3,2.2,71.0,Slight snow fall,Winter
2025-01-12,2.0,-1.5,0.0,3.0,Overcast,Autumn
2025-01-13,-0.1,-3.0,0.0,3.0,Overcast,Autumn
2025-01-14,2.8,-2.8,2.6,61.0,Light rain,Rainy
2025-01-15,5.6,3.1,0.0,45.0,Fog,Autumn
2025-01-16,3.4,0.7,0.0,45.0,Fog,Autumn
2025-01-17,1.6,-1.8,0.0,48.0,Depositing rime fog,Winter
2025-01-18,-1.0,-2.7,0.0,48.0,Depositing rime fog,Winter
2025-01-19,3.9,-3.0,0.0,48.0,Depositing rime fog,Winter
2025-01-20,5.6,-1.0,0.0,48.0,Depositing rime fog,Winter
2025-01-21,-0.6,-2.7,0.0,48.0,Depositing rime fog,Winter
2025-01-22,2.0,-2.6,0.0,48.0,Depositing rime fog,Winter
2025-01-23,4.6,0.4,5.0,61.0,Light rain,Rainy
2025-01-24,7.4,2.6,2.7,61.0,Light rain,Rainy
2025-01-25,13.6,6.6,3.0,61.0,Light rain,Rainy
2025-01-26,9.9,3.3,1.4,80.0,Light rain showers,Rainy
2025-01-27,11.3,5.0,3.9,80.0,Light rain showers,Rainy
2025-01-28,8.5,4.4,6.1,61.0,Light rain,Rainy
2025-01-29,9.3,3.8,1.0,80.0,Light rain showers,Rainy
2025-01-30,7.9,3.1,2.1,80.0,Light rain showers,Rainy
2025-01-31,5.8,0.7,0.0,61.0,Light rain,Rainy
